offense_id,rpt_date,occur_date,occur_day,occur_day_num,occur_time,poss_date,poss_time,beat,zone,location,ibr_code,UC2_Literal,neighborhood,npu,lat,long
210770926,1/13/2022,1/15/2022,Saturday,7,00:00,NA,NA,413,4,"2438 OZARK TRAIL SW
ATLANTA, GA 30331
UNITED STATES",23H,LARCENY-NON VEHICLE,Arlington Estates,P,33.688746,-84.54419
211140913,1/12/2022,4/24/2021,Saturday,7,10:00,4/24/2021,11:00,607,6,"1940 FISHER RD SE
ATLANTA, GA 30315
UNITED STATES",13A,AGG ASSAULT,Custer/McDonough/Guice,W,33.71124,-84.358522
212560898,1/13/2022,9/13/2021,Monday,2,13:18,9/13/2021,14:30,102,1,"835 MARTIN L KING JR DR NW
ATL, GA 30314
UNITED STATES",23C,LARCENY-NON VEHICLE,Vine City,L,33.755037,-84.414571
213400794,1/11/2022,12/6/2021,Monday,2,13:02,12/6/2021,14:30,510,5,"218 PEACHTREE ST
ATL, GA 30303
UNITED STATES",23C,LARCENY-NON VEHICLE,Downtown,M,33.757147,-84.387601
213451230,1/9/2022,12/11/2021,Saturday,7,16:53,12/11/2021,18:00,210,2,"3393 PEACHTREE RD NE
ATL, GA 30326
UNITED STATES",23C,LARCENY-NON VEHICLE,Lenox,B,33.84676,-84.362119
213480110,1/5/2022,12/14/2021,Tuesday,3,01:47,12/14/2021,02:00,210,2,"3405 LENOX RD NE
ATL, GA 30326
UNITED STATES",23D,LARCENY-NON VEHICLE,Lenox,B,33.847997,-84.359474
213540709,1/4/2022,12/19/2021,Sunday,1,11:58,12/20/2021,11:58,104,1,"1108 FOUNTAIN DR SW
ATL, GA 30314
UNITED STATES",23H,LARCENY-NON VEHICLE,Ashview Heights,T,33.751302,-84.423927
213580731,1/14/2022,12/23/2021,Thursday,5,03:00,12/24/2021,07:30,305,3,"174 MOURY AVE SW
ATL, GA 30315
UNITED STATES",240,AUTO THEFT,The Villages at Carver,Y,33.712761,-84.390559
213600004,1/2/2022,12/26/2021,Sunday,1,00:30,12/26/2021,01:00,211,2,"MOROSGO DR NE / ADINA DR NE
ATL, GA 30324
UNITED STATES",23F,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,33.82289,-84.362936
213621507,1/2/2022,12/28/2021,Tuesday,3,14:30,12/28/2021,17:30,503,5,"60 11TH ST NE
ATL, GA 30309
UNITED STATES",23H,LARCENY-NON VEHICLE,Midtown,E,33.783371,-84.385606
213631672,1/1/2022,12/29/2021,Wednesday,4,17:00,12/29/2021,22:30,505,5,"905 JUNIPER ST NE
ATLANTA, GA 30309
UNITED STATES",23F,LARCENY-FROM VEHICLE,Midtown,E,33.779208,-84.382299
213638034,1/3/2022,12/25/2021,Saturday,7,21:00,12/26/2021,20:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638035,1/3/2022,12/28/2021,Tuesday,3,19:00,12/29/2021,23:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638036,1/3/2022,12/20/2021,Monday,2,18:00,12/20/2021,19:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638037,1/5/2022,12/15/2021,Wednesday,4,05:30,12/15/2021,06:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638039,1/12/2022,11/30/2021,Tuesday,3,19:30,11/30/2021,19:45,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213640396,1/3/2022,12/30/2021,Thursday,5,08:00,12/30/2021,08:25,211,2,"2399 PARKLAND DR NE
ATL, GA 30324
UNITED STATES",23F,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,33.819481,-84.364254
213641076,1/1/2022,12/30/2021,Thursday,5,16:30,12/30/2021,17:07,413,4,"2647 BUTNER RD SW
ATLANTA, GA 30331
UNITED STATES",120,ROBBERY,Butner/Tell,P,33.68234,-84.535873
213641089,1/3/2022,12/30/2021,Thursday,5,16:00,12/30/2021,16:00,210,2,"3393 PEACHTREE RD NE
ATLANTA, GA 30326
UNITED STATES",23C,LARCENY-NON VEHICLE,Lenox,B,33.846108,-84.362279
213650025,1/2/2022,12/30/2021,Thursday,5,12:00,12/31/2021,00:00,508,5,"160 TED TURNER DR NW
ATLANTA, GA 30303
UNITED STATES",23H,LARCENY-NON VEHICLE,Downtown,M,33.759364,-84.390123
213650207,1/2/2022,12/31/2021,Friday,6,03:00,12/31/2021,04:00,108,1,"2054 BETHEL DR NW
ATLANTA, GA 30314
UNITED STATES",09A,HOMICIDE,Dixie Hills,J,33.76206,-84.455223
213650289,1/1/2022,12/31/2021,Friday,6,05:00,12/31/2021,05:04,211,2,"761 SIDNEY MARCUS BLVD NE
ATLANTA, GA 30324
UNITED STATES",13A,AGG ASSAULT,Lindbergh/Morosgo,B,33.825441,-84.362192
213650370,1/1/2022,12/31/2021,Friday,6,02:00,12/31/2021,02:30,510,5,"181 PEACHTREE ST NE
ATLANTA, GA 30303
UNITED STATES",120,ROBBERY,Downtown,M,33.758656,-84.38717
213650409,1/1/2022,12/31/2021,Friday,6,09:00,12/31/2021,09:10,508,5,"33 MARIETTA ST NW
ATLANTA, GA 30303
UNITED STATES",23H,LARCENY-NON VEHICLE,Downtown,M,33.755172,-84.390436
213650529,1/1/2022,12/31/2021,Friday,6,00:00,NA,NA,401,4,"496 HOLDERNESS ST SW
ATLANTA, GA 30310
UNITED STATES",23F,LARCENY-FROM VEHICLE,West End,T,33.741488,-84.426552
